"","iso_code","continent","location","date","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million"
"57","DOM","North America","Dominican Republic","2020-10-20",121667,320,403.429,2203,4,3.429,11215.715,29.499,37.19,203.081,0.369,0.316
"58","ECU","South America","Ecuador","2020-10-20",153423,134,872.571,12395,8,25.286,8695.941,7.595,49.457,702.543,0.453,1.433
"59","EGY","Africa","Egypt","2020-10-20",105547,123,128.429,6130,10,9.714,1031.393,1.202,1.255,59.902,0.098,0.095
"60","SLV","North America","El Salvador","2020-10-20",31666,0,210,926,4,4.571,4882.057,0,32.376,142.765,0.617,0.705
"61","GNQ","Africa","Equatorial Guinea","2020-10-20",5070,0,0.571,83,0,0,3613.724,0,0.407,59.16,0,0
"62","ERI","Africa","Eritrea","2020-10-20",452,27,5.429,NA,0,0,127.452,7.613,1.531,NA,0,0
"63","EST","Europe","Estonia","2020-10-20",4085,7,28.857,68,0,0,3079.442,5.277,21.754,51.261,0,0
"64","ETH","Africa","Ethiopia","2020-10-20",89860,723,674.857,1365,13,9.143,781.639,6.289,5.87,11.873,0.113,0.08
"65","FRO","Europe","Faeroe Islands","2020-10-20",485,0,1.143,NA,0,0,9925.304,0,23.388,NA,0,0
"66","FLK","South America","Falkland Islands","2020-10-20",13,0,0,NA,0,0,3732.415,0,0,NA,0,0
"67","FJI","Oceania","Fiji","2020-10-20",32,0,0,2,0,0,35.697,0,0,2.231,0,0
"68","FIN","Europe","Finland","2020-10-20",13555,131,191.857,351,0,0.714,2446.434,23.643,34.627,63.349,0,0.129
"69","FRA","Europe","France","2020-10-20",910277,13243,23828.286,33623,146,114,13945.58,202.885,365.053,515.109,2.237,1.746
"70","PYF","Oceania","French Polynesia","2020-10-20",3797,0,86.857,14,0,0.429,13517.073,0,309.206,49.839,0,1.526
"71","GAB","Africa","Gabon","2020-10-20",8884,3,3.429,54,0,0,3991.503,1.348,1.54,24.262,0,0
"72","GMB","Africa","Gambia","2020-10-20",3655,6,2.714,118,0,0,1512.415,2.483,1.123,48.828,0,0
"73","GEO","Asia","Georgia","2020-10-20",18663,1186,913,143,7,7.143,4678.411,297.305,228.869,35.847,1.755,1.791
"74","DEU","Europe","Germany","2020-10-20",373167,6868,6244.857,9836,47,28.857,4453.92,81.973,74.535,117.397,0.561,0.344
"75","GHA","Africa","Ghana","2020-10-20",47372,62,48.857,310,0,0.286,1524.542,1.995,1.572,9.977,0,0.009
