Z1,Z2,y
2.669941897,11.45753058,2
-11.7210393,-6.873736165,0
8.947349787,-4.303279724,1
8.866063688,-1.182526554,1
-1.3541551,4.99252167,0
9.016639635,-5.354179309,1
5.223859542,13.96137602,2
-4.976563401,2.430974692,0
-12.0001668,-0.605803811,2
9.358496131,-4.211887297,1
1.769829753,6.51458303,2
8.970240194,-1.954185869,1
-4.500435965,0.202017716,2
1.976751773,20.08505665,2
0.695160866,11.42629948,2
1.809651787,17.29756424,2
-11.50258255,-4.532945482,0
-1.112978663,-0.580500444,0
8.32661444,-4.789717044,1
8.82220215,-2.511788802,1
-15.72891669,-4.136696607,0
3.925738327,9.425774569,2
8.118315515,-3.371475466,1
-1.381033843,-1.315547798,0
5.554746526,1.253479263,2
8.832417528,-2.368032918,1
-10.45195332,-3.292693183,0
8.310001716,-2.336018205,1
-8.746814519,-6.000585509,0
8.804843124,-5.24161966,1
-8.260149896,8.824521992,2
-8.147355379,0.328427336,0
9.414551133,-3.956874367,1
7.56128768,-0.442926716,1
-1.531239403,-1.633065455,2
-11.7381864,4.031250101,0
9.456581883,-1.88879825,1
9.913513554,-3.440337186,1
3.343665609,-0.146248769,2
-5.371028155,6.797162104,2
-15.47593868,-6.81089813,0
2.293649424,3.020994809,2
3.595319509,10.78212527,2
9.404948917,-3.313129748,1
-8.640228928,-0.799004227,0
-15.70643788,-4.125315886,0
2.028438363,6.663393917,2
3.118497265,12.49076919,1
5.893893545,2.61500528,2
-11.8397674,-5.794128399,0
-1.381797051,7.588475528,2
9.631359227,-3.525368294,1
-5.393558066,3.192717341,0
8.094200306,-4.245344525,1
-3.887060779,11.6758015,2
-16.3436785,-7.458643779,0
-3.481599203,2.007209397,2
-16.73703518,-3.185196425,0
8.552259951,-3.968352639,1
-14.87734138,-1.193868861,0
7.770455019,-4.096425605,1
-6.01022161,1.528906698,0
8.023493675,-4.151922404,1
8.863192988,-4.589557008,1
0.926595347,-1.279886681,2
-15.09253229,-6.709348356,0
-18.32239176,-9.990701199,0
-14.9946042,-8.776883069,0
0.842120155,11.97965302,2
4.741088503,4.467413476,2
-0.700627712,6.068695542,2
1.806534728,12.28934119,2
-6.065753883,9.253585447,2
6.790207223,-2.092330703,1
-13.05880485,-4.0305902,0
7.808951423,-3.683775467,1
-14.54927858,12.78915877,0
2.144049481,-1.271360388,0
-16.74508079,-8.204636691,0
7.684494988,-3.943455185,1
9.14512412,-4.786117248,1
-18.3079699,-7.464656092,0
3.169625475,2.644842802,2
9.098668896,-2.613705225,1
8.829581186,-3.462345942,1
-22.61665787,13.9848877,0
8.251180487,-2.532100345,1
9.227239959,-3.501904955,1
0.636994614,6.659418223,2
1.575691205,10.11213867,2
